,жилая площадь,ремонт,этажей в доме,отделка,количество комнат,площадь кухни,мебель,санузел,высота потолков,парковка,тип дома,"корпус, строение",двор,общая площадь,официальный застройщик,запланирован снос,год постройки,тип участия,грузовой лифт,способ продажи,этаж,срок сдачи,тёплый пол,окна,вид сделки,пассажирский лифт,балкон или лоджия,техника,в доме,название новостройки,тип комнат,position,price
39,, евро, 19,, 1, 3 м²,, совмещенный, 2.7 м," подземная, открытая во дворе", монолитно-кирпичный,," закрытая территория, детская площадка, спортивная площадка", 20 м²,,, 2019,, 1, свободная, 2 из 19,,, во двор,, 1, балкон,,,,,31,3300000
40, 14 м², дизайнерский, 9,, 1, 4 м²," кухня, хранение одежды, спальные места", совмещенный, 2.7 м," подземная, открытая во дворе", кирпичный,," детская площадка, спортивная площадка", 20.1 м²,,, 1971,,, свободная, 1 из 9,, есть, во двор, возможна ипотека, 1,, стиральная машина,,,,6,3990000
41,,, 25, без отделки, 4,,,,,, монолитный, дом 4.3,, 62.6 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 5 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,8334017
42, 31 м², косметический, 5,, 2, 6 м²," кухня, хранение одежды", совмещенный, 2.6 м, открытая во дворе, панельный,, детская площадка, 47.8 м²,,, 1964,, нет, свободная, 3 из 5,,, во двор, возможна ипотека, нет, балкон, кондиционер, газ,, смежные,6,5350000
43,,, 25, без отделки, 2,,,,,, монолитный, дом 4.3,, 34.9 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 5 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,5049878
44, 16 м², косметический, 5,, 1, 6 м², кухня, совмещенный,, открытая во дворе, кирпичный,, детская площадка, 28 м²,,, 1968,,, свободная, 1 из 5,,, во двор,,,, водонагреватель,,,,1000000,3300000
45,,, 5, без отделки, 2, 21.8 м²,,,,, монолитный, дом 2.1,, 89.5 м², ооо «специализированный застройщик «времена года»,,, дду по фз 214,,, 4 из 5, 1 кв. 2024 года,,,,,,,, жк «времена года», изолированные,1000000,13421608
46, 31 м², косметический, 14,, 2, 8 м²," кухня, хранение одежды", раздельный,,, кирпичный,,, 59 м²,,, 1984,, 1, свободная, 6 из 14,,, на улицу,, 2, лоджия,,,, изолированные,16,5350000
47, 46 м², евро, 5,, 2, 12 м², хранение одежды, совмещенный, 3 м, за шлагбаумом во дворе, кирпичный,, закрытая территория, 76 м²,,, 2001,, нет, свободная, 2 из 5,, есть," во двор, на улицу, на солнечную сторону", возможна ипотека, нет, балкон," кондиционер, водонагреватель", газ,, изолированные,16,12500000
48, 20 м², косметический, 19,, студия,,, совмещенный,,, монолитный,,, 25 м²,,,,,, свободная, 2 из 19,,, во двор,,, лоджия,,,,,31,3650000
